"identifier","voertuigen","jaar","maand","wegcategorie","naam","stad"
"1092002419","54720.0","2010","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","60035.0","2010","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63475.0","2010","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66071.0","2010","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62875.0","2010","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65332.0","2010","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63300.0","2010","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63141.0","2010","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65421.0","2010","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65079.0","2010","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","60033.0","2010","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","57293.0","2011","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62020.0","2011","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64148.0","2011","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66186.0","2011","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64523.0","2011","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62678.0","2011","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","59190.0","2011","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63059.0","2011","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","67687.0","2011","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65445.0","2011","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62192.0","2011","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","58339.0","2012","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","59256.0","2012","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63725.0","2012","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","58781.0","2012","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","60948.0","2012","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63596.0","2012","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","61470.0","2012","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65961.0","2012","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65715.0","2012","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64990.0","2012","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","61644.0","2012","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","54960.0","2013","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","60021.0","2013","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","60247.0","2013","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63807.0","2013","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","61995.0","2013","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64218.0","2013","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64528.0","2013","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65032.0","2013","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65447.0","2013","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65698.0","2013","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","61527.0","2013","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","58828.0","2014","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62033.0","2014","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63411.0","2014","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66325.0","2014","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62523.0","2014","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65231.0","2014","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62573.0","2014","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64951.0","2014","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66931.0","2014","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66939.0","2014","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","61828.0","2014","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","58340.0","2015","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62450.0","2015","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64464.0","2015","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66926.0","2015","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64734.0","2015","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64985.0","2015","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","61348.0","2015","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66461.0","2015","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66295.0","2015","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66612.0","2015","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","61830.0","2015","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","59134.0","2016","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62244.0","2016","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62916.0","2016","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64349.0","2016","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64349.0","2016","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66413.0","2016","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
