"identifier","verzadiging","jaar","maand","wegcategorie","naam","stad"
"1092002419","10.8","2010","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2010","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2010","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2010","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2010","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2010","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2010","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2010","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2010","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2010","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2010","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2011","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2011","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2011","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2011","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2011","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2011","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2011","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2011","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2011","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2011","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2011","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2012","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2012","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2012","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2012","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2012","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2012","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2012","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2012","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2012","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2012","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2012","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.32","2013","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2013","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2013","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2013","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2013","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2013","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2013","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2013","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2013","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2013","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2013","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2014","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2014","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2014","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2014","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2014","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2014","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2014","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2014","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2014","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2014","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2014","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2015","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2015","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2015","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2015","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2015","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2015","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2015","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2015","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2015","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2015","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2015","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2016","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2016","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2016","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2016","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2016","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2016","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2016","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2016","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2016","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2016","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2016","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","10.8","2017","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.52","2017","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2017","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2017","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2017","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2017","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2017","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2017","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2017","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2017","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2017","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2018","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2018","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2018","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2018","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.24","2018","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.04","2018","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.28","2018","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2018","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2018","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","12.0","2018","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","11.76","2018","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
