"identifier","wegcategorie","naam","stad"
"1092002419","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"2426000894","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2714004173","10","van Destelbergen tot Beervelde richting Antwerpen","Brussel"
"3169004108","10","van Wilrijk tot U.Z.A. richting Brussel","Brussel"
"3357005179","10","van Kruibeke tot Zwijndrecht richting Antwerpen","Gent"
"4113003739","10","van U.Z.A. tot Wilrijk richting Antwerpen","Gent"
"4178002713","10","van Beervelde tot Destelbergen richting Lille (F)","Antwerpen"
"5064003691","10","van Machelen tot Vilvoorde-Koningslo richting buitenring","Antwerpen"
"5087002731","10","van Merelbeke tot Wetteren richting Brussel","Antwerpen"
"5182003354","10","van Zwijndrecht tot Kruibeke richting Lille (F)","Antwerpen"
"5187005085","10","van Wetteren tot Merelbeke richting Oostende","Brussel"
"12653001796","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
